week,location,average_price
20-12-2008,Kolkata,104.46(83.94)
20-12-2008,Guwahati,89.05(78.92)
20-12-2008,Siliguri,86.30(74.92)
20-12-2008,Jalpaiguri,N.S.(N.S.)
20-12-2008,mjunction,
20-12-2008,Cochin,77.65(54.77)
20-12-2008,Coonoor,65.74(51.70)
20-12-2008,Coimbatore,69.01(52.26)
20-12-2008,Tea Serve,59.00(46.24)
13-12-2008,Kolkata,105.00(81.51)
13-12-2008,Guwahati,89.91(76.62)
13-12-2008,Siliguri,86.17(73.01)
13-12-2008,Jalpaiguri,N.S.(N.S.)
13-12-2008,mjunction,
13-12-2008,Cochin,75.13(53.64)
13-12-2008,Coonoor,61.88(48.30)
13-12-2008,Coimbatore,64.50(50.38)
13-12-2008,Tea Serve,56.50(42.40)
06-12-2008,Kolkata,108.20(79.50)
06-12-2008,Guwahati,94.72(75.04)
06-12-2008,Siliguri,85.79(70.89)
06-12-2008,Jalpaiguri,N.S.(N.S.)
06-12-2008,mjunction,
06-12-2008,Cochin,70.67(53.92)
06-12-2008,Coonoor,59.19(47.17)
06-12-2008,Coimbatore,60.17(49.13)
06-12-2008,Tea Serve,57.37(40.60)
29-11-2008,Kolkata,109.96(78.50)
29-11-2008,Guwahati,96.85(73.10)
29-11-2008,Siliguri,86.99(69.46)
29-11-2008,Jalpaiguri,N.S.(N.S.)
29-11-2008,mjunction,
29-11-2008,Cochin,79.50(54.80)
29-11-2008,Coonoor,60.97(46.17)
29-11-2008,Coimbatore,61.46(49.55)
29-11-2008,Tea Serve,59.31(40.16)
22-11-2008,Kolkata,108.40(77.26)
22-11-2008,Guwahati,96.76(72.74)
22-11-2008,Siliguri,86.72(69.77)
22-11-2008,Jalpaiguri,N.S.(N.S.)
22-11-2008,mjunction,
22-11-2008,Cochin,83.90(53.46)
22-11-2008,Coonoor,66.11(43.93)
22-11-2008,Coimbatore,68.63(47.02)
22-11-2008,Tea Serve,63.78(37.99)
15-11-2008,Kolkata,109.03(77.00)
15-11-2008,Guwahati,98.77(71.39)
15-11-2008,Siliguri,89.07(66.30)
15-11-2008,Jalpaiguri,N.S.(N.S.)
15-11-2008,mjunction,
15-11-2008,Cochin,81.31(53.44)
15-11-2008,Coonoor,68.07(40.79)
15-11-2008,Coimbatore,71.00(44.58)
15-11-2008,Tea Serve,65.17(37.58)
08-11-2008,Kolkata,107.71(78.66)
08-11-2008,Guwahati,100.19(72.08)
08-11-2008,Siliguri,90.18(N.S.)
08-11-2008,Jalpaiguri,N.S.(N.S.)
08-11-2008,mjunction,
08-11-2008,Cochin,N.S.(53.95)
08-11-2008,Coonoor,69.12(39.32)
08-11-2008,Coimbatore,70.73(N.S.)
08-11-2008,Tea Serve,65.37(35.12)
01-11-2008,Kolkata,109.46(76.47)
01-11-2008,Guwahati,101.34(70.76)
01-11-2008,Siliguri,90.01(65.26)
01-11-2008,Jalpaiguri,N.S.(N.S.)
01-11-2008,mjunction,
01-11-2008,Cochin,83.95(53.81)
01-11-2008,Coonoor,74.88(40.02)
01-11-2008,Coimbatore,72.75(43.95)
01-11-2008,Tea Serve,68.22(35.04)
25-10-2008,Kolkata,114.23(76.01)
25-10-2008,Guwahati,106.50(N.S.)
25-10-2008,Siliguri,96.21(65.00)
25-10-2008,Jalpaiguri,N.S.(N.S.)
25-10-2008,mjunction,
25-10-2008,Cochin,90.24(51.52)
25-10-2008,Coonoor,79.69(38.20)
25-10-2008,Coimbatore,N.S.(42.48)
25-10-2008,Tea Serve,75.94(37.04)
18-10-2008,Kolkata,113.59(N.S.)
18-10-2008,Guwahati,107.29(71.50)
18-10-2008,Siliguri,98.95(N.S.)
18-10-2008,Jalpaiguri,N.S.(N.S.)
18-10-2008,mjunction,
18-10-2008,Cochin,93.65(48.70)
18-10-2008,Coonoor,83.14(38.18)
18-10-2008,Coimbatore,84.21(41.58)
18-10-2008,Tea Serve,79.83(36.32)
11-10-2008,Kolkata,N.S.(75.54)
11-10-2008,Guwahati,N.S.(70.76)
11-10-2008,Siliguri,N.S.(64.98)
11-10-2008,Jalpaiguri,N.S.(N.S.)
11-10-2008,mjunction,
11-10-2008,Cochin,91.01(51.95)
11-10-2008,Coonoor,82.26(38.51)
11-10-2008,Coimbatore,84.37(43.38)
11-10-2008,Tea Serve,79.08(36.35)
04-10-2008,Kolkata,111.43(73.87)
04-10-2008,Guwahati,105.19(69.29)
04-10-2008,Siliguri,97.97(63.23)
04-10-2008,Jalpaiguri,N.S.(N.S.)
04-10-2008,mjunction,
04-10-2008,Cochin,90.63(52.64)
04-10-2008,Coonoor,80.32(39.08)
04-10-2008,Coimbatore,82.36(43.09)
04-10-2008,Tea Serve,76.96(38.19)
27-09-2008,Kolkata,109.64(74.28)
27-09-2008,Guwahati,105.57(68.27)
27-09-2008,Siliguri,97.14(62.81)
27-09-2008,Jalpaiguri,N.S.(N.S.)
27-09-2008,mjunction,
27-09-2008,Cochin,99.95(53.19)
27-09-2008,Coonoor,83.73(38.84)
27-09-2008,Coimbatore,87.14(43.27)
27-09-2008,Tea Serve,82.95(37.02)
20-09-2008,Kolkata,108.36(74.81)
20-09-2008,Guwahati,102.49(66.93)
20-09-2008,Siliguri,97.94(62.37)
20-09-2008,Jalpaiguri,N.S.(N.S.)
20-09-2008,mjunction,
20-09-2008,Cochin,95.39(52.75)
20-09-2008,Coonoor,83.36(39.14)
20-09-2008,Coimbatore,86.45(43.53)
20-09-2008,Tea Serve,79.72(38.64)
13-09-2008,Kolkata,103.26(73.41)
13-09-2008,Guwahati,98.78(66.02)
13-09-2008,Siliguri,91.65(61.51)
13-09-2008,Jalpaiguri,N.S.(N.S.)
13-09-2008,mjunction,
13-09-2008,Cochin,N.S.(51.82)
13-09-2008,Coonoor,75.47(39.64)
13-09-2008,Coimbatore,79.64(43.68)
13-09-2008,Tea Serve,71.44(38.36)
06-09-2008,Kolkata,102.05(74.76)
06-09-2008,Guwahati,97.33(67.58)
06-09-2008,Siliguri,88.80(60.74)
06-09-2008,Jalpaiguri,N.S.(N.S.)
06-09-2008,mjunction,
06-09-2008,Cochin,86.09(51.14)
06-09-2008,Coonoor,71.96(40.91)
06-09-2008,Coimbatore,75.18(42.37)
06-09-2008,Tea Serve,68.57(38.85)
30-08-2008,Kolkata,100.87(74.50)
30-08-2008,Guwahati,95.96(66.88)
30-08-2008,Siliguri,88.54(60.63)
30-08-2008,Jalpaiguri,N.S.(N.S.)
30-08-2008,mjunction,
30-08-2008,Cochin,81.37(N.S.)
30-08-2008,Coonoor,70.36(40.67)
30-08-2008,Coimbatore,71.79(43.42)
30-08-2008,Tea Serve,67.90(38.11)
23-08-2008,Kolkata,102.00(74.45)
23-08-2008,Guwahati,96.18(67.45)
23-08-2008,Siliguri,89.13(61.67)
23-08-2008,Jalpaiguri,N.S.(N.S.)
23-08-2008,mjunction,
23-08-2008,Cochin,81.64(53.70)
23-08-2008,Coonoor,70.75(40.05)
23-08-2008,Coimbatore,73.02(43.20)
23-08-2008,Tea Serve,68.96(39.99)
16-08-2008,Kolkata,100.64(75.14)
16-08-2008,Guwahati,95.55(68.44)
16-08-2008,Siliguri,88.31(62.76)
16-08-2008,Jalpaiguri,N.S.(N.S.)
16-08-2008,mjunction,
16-08-2008,Cochin,81.39(52.70)
16-08-2008,Coonoor,71.62(39.31)
16-08-2008,Coimbatore,74.72(42.38)
16-08-2008,Tea Serve,70.51(39.61)
09-08-2008,Kolkata,98.50(73.69)
09-08-2008,Guwahati,93.18(67.86)
09-08-2008,Siliguri,87.57(64.28)
09-08-2008,Jalpaiguri,N.S.(N.S.)
09-08-2008,mjunction,
09-08-2008,Cochin,76.23(52.99)
09-08-2008,Coonoor,69.80(38.95)
09-08-2008,Coimbatore,70.66(43.01)
09-08-2008,Tea Serve,68.83(38.46)
02-08-2008,Kolkata,97.27(75.89)
02-08-2008,Guwahati,92.36(68.55)
02-08-2008,Siliguri,87.63(64.51)
02-08-2008,Jalpaiguri,N.S.(N.S.)
02-08-2008,mjunction,
02-08-2008,Cochin,72.88(52.73)
02-08-2008,Coonoor,67.21(40.11)
02-08-2008,Coimbatore,68.90(42.33)
02-08-2008,Tea Serve,65.90(39.01)
26-07-2008,Kolkata,97.86(75.46)
26-07-2008,Guwahati,91.84(72.07)
26-07-2008,Siliguri,86.69(66.19)
26-07-2008,Jalpaiguri,N.S.(N.S.)
26-07-2008,mjunction,
26-07-2008,Cochin,67.50(54.50)
26-07-2008,Coonoor,63.98(39.89)
26-07-2008,Coimbatore,65.86(42.81)
26-07-2008,Tea Serve,64.08(38.34)
19-07-2008,Kolkata,99.42(77.32)
19-07-2008,Guwahati,91.65(69.75)
19-07-2008,Siliguri,84.84(66.65)
19-07-2008,Jalpaiguri,N.S.(N.S.)
19-07-2008,mjunction,
19-07-2008,Cochin,66.50(53.09)
19-07-2008,Coonoor,62.36(40.78)
19-07-2008,Coimbatore,63.07(45.03)
19-07-2008,Tea Serve,62.16(39.27)
12-07-2008,Kolkata,100.11(80.00)
12-07-2008,Guwahati,92.86(72.08)
12-07-2008,Siliguri,84.06(66.63)
12-07-2008,Jalpaiguri,N.S.(N.S.)
12-07-2008,mjunction,
12-07-2008,Cochin,65.30(52.84)
12-07-2008,Coonoor,61.74(40.19)
12-07-2008,Coimbatore,62.67(43.36)
12-07-2008,Tea Serve,61.95(39.48)
05-07-2008,Kolkata,101.61(83.40)
05-07-2008,Guwahati,93.22(75.02)
05-07-2008,Siliguri,85.92(67.73)
05-07-2008,Jalpaiguri,N.S.(N.S.)
05-07-2008,mjunction,
05-07-2008,Cochin,65.57(51.70)
05-07-2008,Coonoor,61.45(40.32)
05-07-2008,Coimbatore,63.73(43.99)
05-07-2008,Tea Serve,63.01(38.67)
28-06-2008,Kolkata,102.25(85.34)
28-06-2008,Guwahati,94.94(78.92)
28-06-2008,Siliguri,89.44(69.40)
28-06-2008,Jalpaiguri,N.S.(N.S.)
28-06-2008,mjunction,
28-06-2008,Cochin,67.19(50.94)
28-06-2008,Coonoor,62.68(41.62)
28-06-2008,Coimbatore,63.39(44.67)
28-06-2008,Tea Serve,61.77(40.69)
21-06-2008,Kolkata,101.00(83.83)
21-06-2008,Guwahati,95.82(81.29)
21-06-2008,Siliguri,91.30(71.59)
21-06-2008,Jalpaiguri,N.S.(N.S.)
21-06-2008,mjunction,
21-06-2008,Cochin,64.21(50.54)
21-06-2008,Coonoor,61.96(44.07)
21-06-2008,Coimbatore,62.23(45.38)
21-06-2008,Tea Serve,61.68(42.25)
14-06-2008,Kolkata,95.50(80.11)
14-06-2008,Guwahati,93.95(80.36)
14-06-2008,Siliguri,94.07(73.38)
14-06-2008,Jalpaiguri,N.S.(N.S.)
14-06-2008,mjunction,
14-06-2008,Cochin,61.35(51.98)
14-06-2008,Coonoor,60.62(45.79)
14-06-2008,Coimbatore,60.20(46.77)
14-06-2008,Tea Serve,60.28(43.00)
07-06-2008,Kolkata,91.69(77.50)
07-06-2008,Guwahati,89.09(75.53)
07-06-2008,Siliguri,92.96(73.32)
07-06-2008,Jalpaiguri,N.S.(N.S.)
07-06-2008,mjunction,
07-06-2008,Cochin,58.87(52.60)
07-06-2008,Coonoor,60.23(46.33)
07-06-2008,Coimbatore,59.40(47.83)
07-06-2008,Tea Serve,58.57(44.08)
31-05-2008,Kolkata,91.23(76.47)
31-05-2008,Guwahati,87.17(73.10)
31-05-2008,Siliguri,90.84(73.93)
31-05-2008,Jalpaiguri,N.S.(N.S.)
31-05-2008,mjunction,
31-05-2008,Cochin,58.76(53.45)
31-05-2008,Coonoor,57.93(47.02)
31-05-2008,Coimbatore,57.73(48.14)
31-05-2008,Tea Serve,56.32(43.40)
24-05-2008,Kolkata,92.47(74.43)
24-05-2008,Guwahati,87.21(69.81)
24-05-2008,Siliguri,88.79(72.55)
24-05-2008,Jalpaiguri,N.S.(N.S.)
24-05-2008,mjunction,
24-05-2008,Cochin,58.03(55.75)
24-05-2008,Coonoor,57.02(47.34)
24-05-2008,Coimbatore,57.36(49.25)
24-05-2008,Tea Serve,55.51(44.11)
17-05-2008,Kolkata,92.56(74.34)
17-05-2008,Guwahati,87.31(69.72)
17-05-2008,Siliguri,88.36(70.60)
17-05-2008,Jalpaiguri,N.S.(N.S.)
17-05-2008,mjunction,
17-05-2008,Cochin,57.46(56.27)
17-05-2008,Coonoor,55.15(47.49)
17-05-2008,Coimbatore,54.30(49.73)
17-05-2008,Tea Serve,53.52(44.09)
10-05-2008,Kolkata,93.09(75.21)
10-05-2008,Guwahati,87.51(69.99)
10-05-2008,Siliguri,86.07(68.70)
10-05-2008,Jalpaiguri,N.S.(N.S.)
10-05-2008,mjunction,
10-05-2008,Cochin,57.61(57.67)
10-05-2008,Coonoor,55.11(47.49)
10-05-2008,Coimbatore,54.89(50.49)
10-05-2008,Tea Serve,52.54(43.44)
03-05-2008,Kolkata,95.14(79.15)
03-05-2008,Guwahati,87.51(71.68)
03-05-2008,Siliguri,86.36(69.74)
03-05-2008,Jalpaiguri,N.S.(N.S.)
03-05-2008,mjunction,
03-05-2008,Cochin,59.05(58.06)
03-05-2008,Coonoor,56.17(46.94)
03-05-2008,Coimbatore,55.35(50.75)
03-05-2008,Tea Serve,53.50(44.94)
26-04-2008,Kolkata,97.53(84.62)
26-04-2008,Guwahati,90.29(75.21)
26-04-2008,Siliguri,89.43(71.93)
26-04-2008,Jalpaiguri,N.S.(N.S.)
26-04-2008,mjunction,
26-04-2008,Cochin,59.31(58.21)
26-04-2008,Coonoor,56.17(47.25)
26-04-2008,Coimbatore,55.60(49.72)
26-04-2008,Tea Serve,54.83(45.40)
19-04-2008,Kolkata,94.81(81.95)
19-04-2008,Guwahati,N.S.(81.14)
19-04-2008,Siliguri,91.14(75.17)
19-04-2008,Jalpaiguri,N.S.(N.S.)
19-04-2008,mjunction,
19-04-2008,Cochin,58.68(58.73)
19-04-2008,Coonoor,54.24(46.45)
19-04-2008,Coimbatore,55.14(51.85)
19-04-2008,Tea Serve,53.48(44.59)
12-04-2008,Kolkata,87.47(89.83)
12-04-2008,Guwahati,83.97(84.71)
12-04-2008,Siliguri,90.96(78.91)
12-04-2008,Jalpaiguri,N.S.(N.S.)
12-04-2008,mjunction,
12-04-2008,Cochin,58.60(59.32)
12-04-2008,Coonoor,54.25(47.16)
12-04-2008,Coimbatore,54.83(50.29)
12-04-2008,Tea Serve,53.55(45.86)
05-04-2008,Kolkata,79.95(72.21)
05-04-2008,Guwahati,65.64(61.47)
05-04-2008,Siliguri,93.21(82.64)
05-04-2008,Jalpaiguri,N.S.(N.S.)
05-04-2008,mjunction,
05-04-2008,Cochin,57.54(N.S.)
05-04-2008,Coonoor,54.63(47.03)
05-04-2008,Coimbatore,54.46(48.50)
05-04-2008,Tea Serve,52.22(45.65)
29-03-2008,Kolkata,64.49(54.04)
29-03-2008,Guwahati,N.S.(55.37)
29-03-2008,Siliguri,60.97(53.73)
29-03-2008,Jalpaiguri,N.S.(N.S.)
29-03-2008,mjunction,
29-03-2008,Cochin,57.79(60.81)
29-03-2008,Coonoor,55.17(47.36)
29-03-2008,Coimbatore,54.73(49.09)
29-03-2008,Tea Serve,53.1(45.3)
22-03-2008,Kolkata,N.S.(N.S.)
22-03-2008,Guwahati,58.96(N.S.)
22-03-2008,Siliguri,N.S.(N.S.)
22-03-2008,Jalpaiguri,N.S.(N.S.)
22-03-2008,mjunction,
22-03-2008,Cochin,N.S.(60.03    )
22-03-2008,Coonoor,55.22(49.4)
22-03-2008,Coimbatore,55.64(50.04)
22-03-2008,Tea Serve,54.26(45.04)
15-03-2008,Kolkata,N.S.(N.S.)
15-03-2008,Guwahati,N.S.(54.39)
15-03-2008,Siliguri,N.S.(N.S.)
15-03-2008,Jalpaiguri,N.S.(N.S.)
15-03-2008,mjunction,
15-03-2008,Cochin,59.85(59.05)
15-03-2008,Coonoor,55.92(48.46)
15-03-2008,Coimbatore,56.33(55.79)
15-03-2008,Tea Serve,53.34(45.91)
08-03-2008,Kolkata,66.06(55.19)
08-03-2008,Guwahati,N.S.(N.S.)
08-03-2008,Siliguri,60.76(50.41)
08-03-2008,Jalpaiguri,N.S.(N.S.)
08-03-2008,mjunction,
08-03-2008,Cochin,58.58(N.S.)
08-03-2008,Coonoor,56(50.07)
08-03-2008,Coimbatore,55.53(N.S.)
08-03-2008,Tea Serve,52.42(45.79)
01-03-2008,Kolkata,N.S.(N.S.)
01-03-2008,Guwahati,55.65(N.S.)
01-03-2008,Siliguri,57.02(N.S.)
01-03-2008,Jalpaiguri,N.S.(N.S.)
01-03-2008,mjunction,
01-03-2008,Cochin,58.14(59.47)
01-03-2008,Coonoor,53.99(50.07)
01-03-2008,Coimbatore,53.8(53.75)
01-03-2008,Tea Serve,51(46.47)
23-02-2008,Kolkata,65.69(58.84)
23-02-2008,Guwahati,59.39(57.17)
23-02-2008,Siliguri,58.15(52.33)
23-02-2008,Jalpaiguri,N.S.(N.S.)
23-02-2008,mjunction,
23-02-2008,Cochin,58.53(58.85)
23-02-2008,Coonoor,52.69(N.S.)
23-02-2008,Coimbatore,53.65(52.29)
23-02-2008,Tea Serve,50(45.79)
16-02-2008,Kolkata,67.81(59.7)
16-02-2008,Guwahati,62.5(N.S.)
16-02-2008,Siliguri,61.27(52.74)
16-02-2008,Jalpaiguri,N.S.(N.S.)
16-02-2008,mjunction,
16-02-2008,Cochin,57.66(58.5)
16-02-2008,Coonoor,51.8(49.76)
16-02-2008,Coimbatore,53.47(50.75)
16-02-2008,Tea Serve,49.76(45.5)
09-02-2008,Kolkata,70.4(62.47)
09-02-2008,Guwahati,63.28(61.12)
09-02-2008,Siliguri,59.63(53.12)
09-02-2008,Jalpaiguri,N.S.(N.S.)
09-02-2008,mjunction,
09-02-2008,Cochin,57.32(57.81)
09-02-2008,Coonoor,52.28(49.42)
09-02-2008,Coimbatore,52.6(50.04)
09-02-2008,Tea Serve,50.02(45.7)
02-02-2008,Kolkata,70.39(67.24)
02-02-2008,Guwahati,64.99(60.77)
02-02-2008,Siliguri,62.09(54.59)
02-02-2008,Jalpaiguri,N.S.(N.S.)
02-02-2008,mjunction,
02-02-2008,Cochin,57.06(58.48)
02-02-2008,Coonoor,53.38(49.58)
02-02-2008,Coimbatore,52.5(50.2)
02-02-2008,Tea Serve,50.33(46.64)
26-01-2008,Kolkata,73.38(65.99)
26-01-2008,Guwahati,65.66(60.58)
26-01-2008,Siliguri,65.57(56.43)
26-01-2008,Jalpaiguri,N.S.(N.S.)
26-01-2008,mjunction,
26-01-2008,Cochin,54.59(60.24)
26-01-2008,Coonoor,53.43(48.67)
26-01-2008,Coimbatore,52.07(49.71)
26-01-2008,Tea Serve,48.5(46.12)
19-01-2008,Kolkata,76.25(66.63)
19-01-2008,Guwahati,71.01(61.2)
19-01-2008,Siliguri,67.16(58.49)
19-01-2008,Jalpaiguri,N.S.(N.S.)
19-01-2008,mjunction,
19-01-2008,Cochin,57.49(58.96)
19-01-2008,Coonoor,52.48(48.59)
19-01-2008,Coimbatore,53.18(50.43)
19-01-2008,Tea Serve,48.04(46.76)
12-01-2008,Kolkata,78.73(67.67)
12-01-2008,Guwahati,73.97(61.08)
12-01-2008,Siliguri,68.17(59.3)
12-01-2008,Jalpaiguri,N.S.(N.S.)
12-01-2008,mjunction,
12-01-2008,Cochin,58.02(58.69)
12-01-2008,Coonoor,52.23(47.43)
12-01-2008,Coimbatore,53.39(49.12)
12-01-2008,Tea Serve,46.84(45.23)
05-01-2008,Kolkata,79.79(67.68)
05-01-2008,Guwahati,76.19(61.51)
05-01-2008,Siliguri,70.07(60.01)
05-01-2008,Jalpaiguri,N.S.(N.S.)
05-01-2008,mjunction,
05-01-2008,Cochin,57.83(56.35)
05-01-2008,Coonoor,51.67(47.61)
05-01-2008,Coimbatore,53.92(49.3)
05-01-2008,Tea Serve,46.75(45.13)
19-12-2009,Kolkata,122.95 (104.46)
19-12-2009,Guwahati,111.26 (89.05)
19-12-2009,Siliguri,113.70 (86.30)
19-12-2009,Jalpaiguri,N.S.(N.S.)
19-12-2009,mjunction,
19-12-2009,Cochin,81.73 (77.65)
19-12-2009,Coonoor,74.04 (65.74)
19-12-2009,Coimbatore,74.41 (69.01)
19-12-2009,Tea Serve,69.36 (59.00)
12-12-2009,Kolkata,123.65 (105.00)
12-12-2009,Guwahati,111.72 (89.91)
12-12-2009,Siliguri,114.33 (86.17)
12-12-2009,Jalpaiguri,N.S.(N.S.)
12-12-2009,mjunction,
12-12-2009,Cochin,81.48 (75.13)
12-12-2009,Coonoor,74.69 (61.88)
12-12-2009,Coimbatore,76.11 (64.50)
12-12-2009,Tea Serve,72.16 (56.50)
05-12-2009,Kolkata,126.73 (108.20)
05-12-2009,Guwahati,114.98 (94.72)
05-12-2009,Siliguri,111.19 (85.79)
05-12-2009,Jalpaiguri,N.S.(N.S.)
05-12-2009,mjunction,
05-12-2009,Cochin,82.72 (70.67)
05-12-2009,Coonoor,76.90 (59.19)
05-12-2009,Coimbatore,77.44 (60.17)
05-12-2009,Tea Serve,75.31 (57.37)
28-11-2009,Kolkata,126.24 (109.96)
28-11-2009,Guwahati,120.06 (96.85)
28-11-2009,Siliguri,110.03 (86.99)
28-11-2009,Jalpaiguri,N.S.(N.S.)
28-11-2009,mjunction,
28-11-2009,Cochin,84.40 (79.50)
28-11-2009,Coonoor,76.51 (60.97)
28-11-2009,Coimbatore,77.67 (61.46)
28-11-2009,Tea Serve,72.92 (59.31)
21-11-2009,Kolkata,132.46 (108.40)
21-11-2009,Guwahati,118.99 (96.76)
21-11-2009,Siliguri,114.64 (86.72)
21-11-2009,Jalpaiguri,N.S.(N.S.)
21-11-2009,mjunction,
21-11-2009,Cochin,80.23 (83.90)
21-11-2009,Coonoor,76.24 (66.11)
21-11-2009,Coimbatore,79.41 (68.63)
21-11-2009,Tea Serve,69.08 (66.78)
14-11-2009,Kolkata,129.38 (109.03)
14-11-2009,Guwahati,120.09 (98.77)
14-11-2009,Siliguri,116.15 (89.07)
14-11-2009,Jalpaiguri,N.S.(N.S.)
14-11-2009,mjunction,
14-11-2009,Cochin,78.86 (81.31)
14-11-2009,Coonoor,0.00 (68.07)
14-11-2009,Coimbatore,75.37 (71.00)
14-11-2009,Tea Serve,0.00 (65.17)
07-11-2009,Kolkata,129.75 (107.71)
07-11-2009,Guwahati,118.65 (100.19)
07-11-2009,Siliguri,115.75 (90.18)
07-11-2009,Jalpaiguri,N.S.(N.S.)
07-11-2009,mjunction,
07-11-2009,Cochin,79.27 (0.00)
07-11-2009,Coonoor,70.38 (69.12)
07-11-2009,Coimbatore,73.22 (70.73)
07-11-2009,Tea Serve,64.45 (65.37)
31-10-2009,Kolkata,132.56 (109.46)
31-10-2009,Guwahati,119.64 (101.34)
31-10-2009,Siliguri,109.63 (90.01)
31-10-2009,Jalpaiguri,N.S.(N.S.)
31-10-2009,mjunction,
31-10-2009,Cochin,82.58(83.95)
31-10-2009,Coonoor,68.75 (74.88)
31-10-2009,Coimbatore,72.78 (72.75)
31-10-2009,Tea Serve,65.26 (68.22)
24-10-2009,Kolkata,128.85 (114.23)
24-10-2009,Guwahati,119.67 (106.50)
24-10-2009,Siliguri,108.25 (96.21)
24-10-2009,Jalpaiguri,N.S.(N.S.)
24-10-2009,mjunction,
24-10-2009,Cochin,86.17 (90.24)
24-10-2009,Coonoor,72.49 (79.69)
24-10-2009,Coimbatore,75.68 (NS)
24-10-2009,Tea Serve,67.16 (75.94)
17-10-2009,Kolkata,130.14 (113.59)
17-10-2009,Guwahati,119.69 (107.29)
17-10-2009,Siliguri,106.18 (98.95)
17-10-2009,Jalpaiguri,N.S.(N.S.)
17-10-2009,mjunction,
17-10-2009,Cochin,N.S (93.65)
17-10-2009,Coonoor,73.67 (83.14)
17-10-2009,Coimbatore,N.S (84.21)
17-10-2009,Tea Serve,68.14 (79.83)
10-10-2009,Kolkata,129.80((N.S)
10-10-2009,Guwahati,117.34 ((N.S)
10-10-2009,Siliguri,109.32 (N.S)
10-10-2009,Jalpaiguri,N.S.(N.S.)
10-10-2009,mjunction,
10-10-2009,Cochin,84.32 (91.01)
10-10-2009,Coonoor,73.48 (82.26)
10-10-2009,Coimbatore,77.27 (84.37)
10-10-2009,Tea Serve,68.10 (79.08)
03-10-2009,Kolkata,N.S (111.43)
03-10-2009,Guwahati,N.S (105.19)
03-10-2009,Siliguri,N.S (97.97)
03-10-2009,Jalpaiguri,N.S.(N.S.)
03-10-2009,mjunction,
03-10-2009,Cochin,86.50 (90.63)
03-10-2009,Coonoor,75.59 (80.32)
03-10-2009,Coimbatore,77.85 (82.36)
03-10-2009,Tea Serve,78.6(76.96)
26-09-2009,Kolkata,129.70 (109.64)
26-09-2009,Guwahati,114.83 (105.57)
26-09-2009,Siliguri,105.28 (97.14)
26-09-2009,Jalpaiguri,N.S.(N.S.)
26-09-2009,mjunction,
26-09-2009,Cochin,89.65 (99.95)
26-09-2009,Coonoor,76.85 (83.73)
26-09-2009,Coimbatore,80.74 (87.14)
26-09-2009,Tea Serve,79.87 (82.95)
19-09-2009,Kolkata,124.18 (108.36)
19-09-2009,Guwahati,114.69 (102.49)
19-09-2009,Siliguri,101.40 (97.94)
19-09-2009,Jalpaiguri,N.S.(N.S.)
19-09-2009,mjunction,
19-09-2009,Cochin,93.79 (95.39)
19-09-2009,Coonoor,75.45 (83.36)
19-09-2009,Coimbatore,80.50 (86.45)
19-09-2009,Tea Serve,75.53 (79.72)
12-09-2009,Kolkata,121.40 (103.26)
12-09-2009,Guwahati,112.62 (98.78)
12-09-2009,Siliguri,No sale
12-09-2009,Jalpaiguri,N.S.(N.S.)
12-09-2009,mjunction,
12-09-2009,Cochin,92.81 (N.S)
12-09-2009,Coonoor,74.93 (75.47)
12-09-2009,Coimbatore,75.67 (79.64)
12-09-2009,Tea Serve,73.85 (71.44)
05-09-2009,Kolkata,122.13 (102.05)
05-09-2009,Guwahati,112.43 (97.33)
05-09-2009,Siliguri,No sale
05-09-2009,Jalpaiguri,N.S.(N.S.)
05-09-2009,mjunction,
05-09-2009,Cochin,No sale
05-09-2009,Coonoor,73.75 (71.96)
05-09-2009,Coimbatore,78.51 (75.18)
05-09-2009,Tea Serve,70.36 (68.57)
29-08-2009,Kolkata,123.21 (100.87 )
29-08-2009,Guwahati,114.19 (95.96)
29-08-2009,Siliguri,101.70 (88.54)
29-08-2009,Jalpaiguri,N.S.(N.S.)
29-08-2009,mjunction,
29-08-2009,Cochin,93.72 (81.37)
29-08-2009,Coonoor,72.21 (70.36)
29-08-2009,Coimbatore,77.25 (71.79)
29-08-2009,Tea Serve,69.39 (67.90)
22-08-2009,Kolkata,126.20 (102.00)
22-08-2009,Guwahati,114.15 (96.18)
22-08-2009,Siliguri,101.14 (89.13)
22-08-2009,Jalpaiguri,N.S.(N.S.)
22-08-2009,mjunction,
22-08-2009,Cochin,94.20 (81.64)
22-08-2009,Coonoor,72.27 (70.75)
22-08-2009,Coimbatore,76.49 (73.02)
22-08-2009,Tea Serve,67.87 (68.96)
15-08-2009,Kolkata,123.83 (100.64)
15-08-2009,Guwahati,113.56 (95.55)
15-08-2009,Siliguri,102.99 (88.31)
15-08-2009,Jalpaiguri,N.S.(N.S.)
15-08-2009,mjunction,
15-08-2009,Cochin,96.50 (81.39)
15-08-2009,Coonoor,70.51 (71.62)
15-08-2009,Coimbatore,75.35 (74.72)
15-08-2009,Tea Serve,67.58 (70.51)
08-08-2009,Kolkata,122.81 (98.50)
08-08-2009,Guwahati,112.15 (93.18)
08-08-2009,Siliguri,106.04 (87.57)
08-08-2009,Jalpaiguri,N.S.(N.S.)
08-08-2009,mjunction,
08-08-2009,Cochin,95.46 (76.23)
08-08-2009,Coonoor,69.52 (69.80)
08-08-2009,Coimbatore,74.30  (70.66)
08-08-2009,Tea Serve,68.64 (68.83)
